lga_code_2016,lga_name,median_aud_2014_15
10050,albury,53775
10130,armidale regional,49109
10250,ballina,49223
10300,balranald,47217
10470,bathurst regional,55531
10550,bega valley,44529
10600,bellingen,42499
10650,berrigan,46733
10750,blacktown,54326
10800,bland,51664
10850,blayney,54570
10900,blue mountains,57743
10950,bogan,61931
11100,botany bay,58533
11150,bourke,52853
11200,brewarrina,43150
11250,broken hill,55425
11300,burwood,54861
11350,byron,46976
11400,cabonne,54868
11450,camden,62301
11500,campbelltown,52218
11520,canada bay,76384
11570,canterbury-bankstown,50036
11600,carrathool,53296
11650,central coast,53716
11700,central darling,61023
11720,cessnock,55981
11730,clarence valley,41650
11750,cobar,70301
11800,coffs harbour,47881
12000,coolamon,50277
12150,coonamble,46026
12350,cowra,44766
12380,cumberland,47721
12700,dungog,50845
12730,edward river,49165
12750,eurobodalla,42991
12850,fairfield,47282
12870,federation,48996
12900,forbes,50226
12930,georges river,58741
12950,gilgandra,43633
13010,glen innes severn,37112
13310,goulburn mulwaree,52580
13340,greater hume shire,50249
13450,griffith,50382
13510,gundagai,50129
13550,gunnedah,55464
13660,gwydir,41095
13800,hawkesbury,57847
13850,hay,47720
13910,hilltops,48290
14000,hornsby,68940
14100,hunters hill,132053
14170,inner west,77873
14200,inverell,43391
14300,junee,50253
14350,kempsey,41076
14400,kiama,58873
14500,ku-ring-gai,103457
14550,kyogle,37472
14600,lachlan,52764
14650,lake macquarie,56997
14700,lane cove,103108
14750,leeton,47861
14850,lismore,45428
14870,lithgow ,55541
14900,liverpool,54133
14920,liverpool plains,46470
14950,lockhart,50853
15050,maitland,59998
15240,mid-coast,42791
15270,mid-western regional,54383
15300,moree plains,54412
15350,mosman,155330
15520,murray river,48105
15560,murrumbidgee,50345
15650,muswellbrook,67582
15700,nambucca,40841
15750,narrabri,52265
15800,narrandera,46586
15850,narromine,48033
15900,newcastle,61706
15950,north sydney,103974
15990,northern beaches,82042
16100,oberon,51316
16150,orange,58150
16200,parkes,51096
16260,parramatta,58413
16350,penrith,56654
16380,port macquarie-hastings,47521
16400,port stephens,52417
16490,queanbeyan-palerang regional,67349
16550,randwick,78050
16610,richmond valley,42158
16650,rockdale,55121
16700,ryde,64107
16900,shellharbour,55187
16950,shoalhaven,47013
17000,singleton,71199
17040,snowy monaro regional,49787
17080,snowy valleys,51707
17100,strathfield,63561
17150,sutherland shire,69165
17200,sydney,77840
17310,tamworth regional,49994
17350,temora,47099
17400,tenterfield,34724
17420,the hills shire,72369
17550,tweed,47891
17620,upper hunter shire,67341
17640,upper lachlan shire,48256
17650,uralla,43863
17750,wagga wagga,55994
17850,walcha,42329
17900,walgett,28822
17950,warren,60388
18020,warrumbungle shire,43928
18050,waverley,94547
18100,weddin,46851
18200,wentworth,48237
18230,western plains regional,52633
18250,willoughby,94975
18350,wingecarribee,57916
18400,wollondilly,60237
18450,wollongong,59054
18500,woollahra,151234
18710,yass valley,64360
19399,unincorporated nsw,50429
