lga_name,ovrwgt_p_1_count
alpine,3267.0
ararat,3010.0
ballarat,25725.0
banyule,37568.0
bass coast,8899.0
baw baw,12002.0
bayside,29738.0
benalla,3713.0
boroondara,51385.0
brimbank,56627.0
buloke,1679.0
campaspe,9593.0
cardinia,24997.0
casey,79721.0
central goldfields,3444.0
colac-otway,5413.0
corangamite,4319.0
darebin,44689.0
east gippsland,12072.0
frankston,39179.0
gannawarra,2728.0
glen eira,42779.0
glenelg,5308.0
golden plains,5241.0
greater bendigo,27618.0
greater dandenong,42456.0
greater geelong,59253.0
greater shepparton,15334.0
hepburn,4150.0
hindmarsh,1550.0
hobsons bay,27773.0
horsham,5005.0
hume,52180.0
indigo,4231.0
kingston,46602.0
knox,45973.0
latrobe,18856.0
loddon,2064.0
macedon ranges,12836.0
manningham,36545.0
mansfield,2073.0
maribyrnong,24567.0
maroondah,32622.0
melbourne,32784.0
melton,35478.0
mildura,13046.0
mitchell,10097.0
moira,7667.0
monash,54281.0
moonee valley,36092.0
moorabool,8780.0
moreland,49486.0
mornington peninsula,46507.0
mount alexander,4999.0
moyne,4297.0
murrindindi,3943.0
nillumbik,18524.0
northern grampians,3041.0
port phillip,32690.0
pyrenees,1918.0
queenscliffe,907.0
south gippsland,7515.0
southern grampians,4210.0
stonnington,33008.0
strathbogie,2790.0
surf coast,7652.0
swan hill,5123.0
towong,1616.0
wangaratta,7108.0
warrnambool,8581.0
wellington,10705.0
west wimmera,1136.0
whitehorse,48270.0
whittlesea,54903.0
wodonga,9290.0
wyndham,56533.0
yarra,27179.0
yarra ranges,43942.0
yarriambiack,1895.0
unincorporated vic,
